name,company,image,for_gender,rating,number_votes,main accords ,sillage,top notes,middle notes,base notes,longevity,,gender_vote,price value,,,,,,,,seasons,main accords old
Bitter Peach,Tom Ford,https://fimgs.net/mdimg/perfume/375x500.62707.jpg,for women and men,3.54,429,"woody , warm spicy , fruity , amber , powdery , sweet , vanilla , balsamic , citrus , aromatic ",moderate,"['Peach', 'Blood Orange', 'Cardamom', 'Heliotrope']","['Rum', 'Cognac', 'Davana', 'Jasmine']","['Indonesian Patchouli Leaf', 'Sandalwood', 'Vanilla', 'Tonka Bean', 'Cashmeran', 'Benzoin', 'Labdanum', 'Styrax', 'Vetiver']","{'very weak': 18, 'weak': 33, 'moderate': 70, 'long lasting': 94, 'eternal': 46}",,"{'female': 68, 'more female': 51, 'unisex': 58, 'more male': 4, 'male': 3}","{'way overpriced': 115, 'overpriced': 52, 'ok': 20, 'good value': 9, 'great value': 5}",,,,,,,,fall,"{'woody': 100.0, 'warm spicy': 77.6476, 'fruity': 73.896, 'amber': 72.1213, 'powdery': 66.5725, 'sweet': 65.2696, 'vanilla': 63.8767, 'balsamic': 56.8453, 'citrus': 56.2837, 'aromatic': 56.1265}"
Narciso Eau de Parfum Ambrée,Narciso Rodriguez,https://fimgs.net/mdimg/perfume/375x500.60867.jpg,for women,3.84,750,"musky , powdery , woody , floral , amber , yellow floral , tropical , white floral , sweet , vanilla ",moderate,"['Frangipani', 'Ylang-Ylang', 'White Flowers']","['Musk', 'Amber']","['Cashmeran', 'Vanilla', 'Cedar']","{'very weak': 28, 'weak': 57, 'moderate': 122, 'long lasting': 62, 'eternal': 44}",,"{'female': 110, 'more female': 15, 'unisex': 3, 'more male': 0, 'male': 0}","{'way overpriced': 6, 'overpriced': 21, 'ok': 67, 'good value': 15, 'great value': 2}",,,,,,,,fall,"{'musky': 100.0, 'powdery': 87.407, 'woody': 86.9365, 'floral': 86.5426, 'amber': 74.5952, 'yellow floral': 72.4508, 'tropical': 71.8381, 'white floral': 63.2604, 'sweet': 60.4814, 'vanilla': 52.5383}"
La Nuit Tresor Nude,Lancome,https://fimgs.net/mdimg/perfume/375x500.58825.jpg,for women,4.05,583,"vanilla , coconut , sweet , citrus , rose , lactonic , powdery , tropical ",moderate,['Bergamot'],['Rose'],"['Coconut', 'Vanila']","{'very weak': 31, 'weak': 22, 'moderate': 112, 'long lasting': 81, 'eternal': 34}",,"{'female': 109, 'more female': 7, 'unisex': 1, 'more male': 0, 'male': 0}","{'way overpriced': 7, 'overpriced': 23, 'ok': 68, 'good value': 12, 'great value': 4}",,,,,,,,spring,"{'vanilla': 100.0, 'coconut': 85.9852, 'sweet': 63.035, 'citrus': 52.0233, 'rose': 51.5042, 'lactonic': 49.5948, 'powdery': 48.0561, 'tropical': 46.7956}"
The Only One Eau de Parfum Intense,Dolce&Gabbana,https://fimgs.net/mdimg/perfume/375x500.59312.jpg,for women,4.12,562,"white floral , vanilla , woody , citrus , coconut , sweet , fresh ",moderate,"['Neroli', 'Green Apple', 'Italian Mandarin']","['Jasmine', 'Coconut', 'Orange Blossom']","['Vanilla', 'Cashmere Wood', 'Cedar']","{'very weak': 20, 'weak': 24, 'moderate': 89, 'long lasting': 96, 'eternal': 39}",,"{'female': 106, 'more female': 27, 'unisex': 11, 'more male': 5, 'male': 2}","{'way overpriced': 5, 'overpriced': 17, 'ok': 74, 'good value': 19, 'great value': 6}",,,,,,,,fall,"{'white floral': 100.0, 'vanilla': 75.2123, 'woody': 65.9461, 'citrus': 64.2808, 'coconut': 59.2466, 'sweet': 57.7603, 'fresh': 45.8858}"
Black Orchid Parfum,Tom Ford,https://fimgs.net/mdimg/perfume/375x500.62199.jpg,for women and men,4.26,452,"earthy , sweet , woody , yellow floral , fruity , patchouli , rum , floral , warm spicy , animalic ",enormous,"['Truffle', 'Plum']","['Ylang-Ylang', 'Rum', 'Black Orchid']",['Patchouli'],"{'very weak': 17, 'weak': 10, 'moderate': 25, 'long lasting': 106, 'eternal': 115}",,"{'female': 17, 'more female': 40, 'unisex': 110, 'more male': 8, 'male': 6}","{'way overpriced': 17, 'overpriced': 42, 'ok': 52, 'good value': 14, 'great value': 12}",,,,,,,,winter,"{'earthy': 100.0, 'sweet': 98.1833, 'woody': 90.1842, 'yellow floral': 80.6907, 'fruity': 72.7794, 'patchouli': 72.4864, 'rum': 68.4429, 'floral': 64.1942, 'warm spicy': 60.8539, 'animalic': 47.6685}"
La Vie Est Belle Intensément,Lancome,https://fimgs.net/mdimg/perfume/375x500.59326.jpg,for women,4.04,693,"vanilla , powdery , sweet , fruity , woody , white floral , warm spicy , amber , iris , balsamic ",strong,"['Raspberry', 'Pink Pepper', 'Bergamot']","['Heliotrope', 'Jasmine Sambac', 'Orange Blossom']","['Vanilla', 'iris', 'Benzoin', 'Sandalwood', 'Patchouli']","{'very weak': 22, 'weak': 26, 'moderate': 84, 'long lasting': 124, 'eternal': 68}",,"{'female': 123, 'more female': 8, 'unisex': 2, 'more male': 0, 'male': 1}","{'way overpriced': 4, 'overpriced': 28, 'ok': 70, 'good value': 14, 'great value': 9}",,,,,,,,fall,"{'vanilla': 100.0, 'powdery': 87.6849, 'sweet': 77.2545, 'fruity': 74.5487, 'woody': 59.1565, 'white floral': 57.4146, 'warm spicy': 55.4584, 'amber': 54.9872, 'iris': 54.9872, 'balsamic': 48.5334}"
Miss Dior Rose N'Roses,Christian Dior,https://fimgs.net/mdimg/perfume/375x500.58562.jpg,for women,3.59,905,"rose , musky , fresh spicy , citrus , aromatic , powdery , floral ",moderate,"['Geranium', 'Bergamot', 'Italian Mandarin']","['Grasse Rose', 'Damask Rose']",['White Musk'],"{'very weak': 41, 'weak': 48, 'moderate': 120, 'long lasting': 49, 'eternal': 35}",,"{'female': 103, 'more female': 5, 'unisex': 6, 'more male': 0, 'male': 0}","{'way overpriced': 12, 'overpriced': 33, 'ok': 38, 'good value': 5, 'great value': 4}",,,,,,,,spring,"{'rose': 100.0, 'musky': 73.75, 'fresh spicy': 70.5, 'citrus': 64.1875, 'aromatic': 60.8, 'powdery': 53.475, 'floral': 48.525}"
1 Million Parfum,Paco Rabanne,https://fimgs.net/mdimg/perfume/375x500.60035.jpg,for men,3.9,561,"white floral , amber , tuberose , animalic , woody , salty , tropical , leather , musky , coconut ",strong,[],"['Tuberose', 'Monoi Oil', 'Salt', 'Ambergris', 'Solar notes', 'Leather', 'Cashmeran', 'Pine', 'Labdanum']",[],"{'very weak': 20, 'weak': 23, 'moderate': 61, 'long lasting': 183, 'eternal': 124}",,"{'female': 2, 'more female': 7, 'unisex': 70, 'more male': 58, 'male': 55}","{'way overpriced': 8, 'overpriced': 29, 'ok': 82, 'good value': 32, 'great value': 4}",,,,,,,,fall,"{'white floral': 100.0, 'amber': 93.1877, 'tuberose': 86.0741, 'animalic': 80.7216, 'woody': 71.7312, 'salty': 61.9762, 'tropical': 58.7322, 'leather': 56.6468, 'musky': 51.9431, 'coconut': 51.5492}"
Voce Viva,Valentino,https://fimgs.net/mdimg/perfume/375x500.62754.jpg,for women,3.38,666,"citrus , white floral , vanilla , sweet , powdery , warm spicy , musky , aromatic ",moderate,"['Mandarin Orange', 'Bergamot', 'Ginger']","['Orange Blossom', 'Gardenia']","['Vanilla', 'Tonka Bean', 'Musk', 'Sandalwood', 'Oakmoss']","{'very weak': 29, 'weak': 37, 'moderate': 129, 'long lasting': 54, 'eternal': 25}",,"{'female': 180, 'more female': 15, 'unisex': 8, 'more male': 1, 'male': 1}","{'way overpriced': 39, 'overpriced': 70, 'ok': 59, 'good value': 16, 'great value': 5}",,,,,,,,spring,"{'citrus': 100.0, 'white floral': 86.0863, 'vanilla': 83.8367, 'sweet': 61.7103, 'powdery': 55.47, 'warm spicy': 53.436, 'musky': 45.1002, 'aromatic': 44.3605}"
Le Lion de Chanel,Chanel,https://fimgs.net/mdimg/perfume/375x500.61036.jpg,for women and men,4.19,297,"amber , woody , musky , powdery , citrus , vanilla , balsamic , patchouli , warm spicy ",strong,"['Lemon', 'Bergamot']","['Labdanum', 'Amber']","['Madagascar Vanilla', 'Patchouli', 'Sandalwood', 'Musk']","{'very weak': 12, 'weak': 8, 'moderate': 27, 'long lasting': 104, 'eternal': 48}",,"{'female': 10, 'more female': 10, 'unisex': 102, 'more male': 32, 'male': 18}","{'way overpriced': 15, 'overpriced': 41, 'ok': 69, 'good value': 10, 'great value': 4}",,,,,,,,winter,"{'amber': 100.0, 'woody': 72.5709, 'musky': 63.5603, 'powdery': 61.016, 'citrus': 56.0638, 'vanilla': 51.5957, 'balsamic': 50.2181, 'patchouli': 48.8653, 'warm spicy': 46.8794}"
Irresistible Givenchy,Givenchy,https://fimgs.net/mdimg/perfume/375x500.60891.jpg,for women,3.59,651,"musky , fruity , rose , powdery , floral , sweet , iris , aquatic , woody , fresh ",moderate,"['Pear', 'Ambrette (Musk Mallow)']","['Rose', 'iris']","['Musk', 'Virginia Cedar']","{'very weak': 30, 'weak': 38, 'moderate': 90, 'long lasting': 70, 'eternal': 35}",,"{'female': 130, 'more female': 4, 'unisex': 3, 'more male': 0, 'male': 0}","{'way overpriced': 8, 'overpriced': 43, 'ok': 52, 'good value': 11, 'great value': 3}",,,,,,,,spring,"{'musky': 100.0, 'fruity': 79.7845, 'rose': 75.9549, 'powdery': 71.2666, 'floral': 68.5975, 'sweet': 67.2745, 'iris': 59.4761, 'aquatic': 56.5517, 'woody': 51.6777, 'fresh': 49.9138}"
Rose Prick,Tom Ford,https://fimgs.net/mdimg/perfume/375x500.58781.jpg,for women and men,3.56,518,"warm spicy , rose , patchouli , fresh spicy , earthy , woody , citrus , vanilla , floral , herbal ",moderate,"['Sichuan Pepper', 'Turmeric']","['May Rose', 'Bulgarian Rose', 'Turkish Rose']","['Patchouli', 'Tonka Bean']","{'very weak': 22, 'weak': 31, 'moderate': 69, 'long lasting': 65, 'eternal': 44}",,"{'female': 34, 'more female': 19, 'unisex': 35, 'more male': 3, 'male': 2}","{'way overpriced': 49, 'overpriced': 22, 'ok': 9, 'good value': 0, 'great value': 2}",,,,,,,,fall,"{'warm spicy': 100.0, 'rose': 91.6477, 'patchouli': 72.2585, 'fresh spicy': 68.4801, 'earthy': 59.6555, 'woody': 55.3551, 'citrus': 54.4602, 'vanilla': 52.2727, 'floral': 48.4943, 'herbal': 47.1023}"
So Scandal!,Jean Paul Gaultier,https://fimgs.net/mdimg/perfume/375x500.60942.jpg,for women,3.88,415,"white floral , fruity , sweet , tuberose , lactonic , animalic ",strong,[],"['Raspberry', 'Tuberose', 'Milk', 'Jasmine Sambac', 'Orange Blossom']",[],"{'very weak': 15, 'weak': 23, 'moderate': 59, 'long lasting': 88, 'eternal': 32}",,"{'female': 79, 'more female': 4, 'unisex': 2, 'more male': 0, 'male': 3}","{'way overpriced': 3, 'overpriced': 22, 'ok': 38, 'good value': 14, 'great value': 4}",,,,,,,,spring and fall,"{'white floral': 100.0, 'fruity': 69.8104, 'sweet': 66.2214, 'tuberose': 66.0405, 'lactonic': 50.629, 'animalic': 45.9016}"
Idôle L'Intense,Lancome,https://fimgs.net/mdimg/perfume/375x500.62333.jpg,for women,3.79,408,"woody , rose , musky , floral , white floral , citrus , powdery , patchouli , vanilla , balsamic ",strong,"['Bitter Orange', 'Mandarin Orange']","['Turkish Rose', 'Grasse Rose', 'Egyptian Jasmine', 'Jasmine Sambac', 'Jasmine', 'Musk']","['Acácia', 'Cashmere Wood', 'Patchouli', 'Madagascar Vanilla', 'Cedar', 'Sandalwood']","{'very weak': 10, 'weak': 13, 'moderate': 65, 'long lasting': 91, 'eternal': 33}",,"{'female': 129, 'more female': 10, 'unisex': 5, 'more male': 2, 'male': 0}","{'way overpriced': 11, 'overpriced': 29, 'ok': 68, 'good value': 9, 'great value': 2}",,,,,,,,fall,"{'woody': 100.0, 'rose': 87.0767, 'musky': 85.7795, 'floral': 85.066, 'white floral': 75.4019, 'citrus': 72.7427, 'powdery': 71.186, 'patchouli': 54.971, 'vanilla': 52.0523, 'balsamic': 51.7605}"
Pasha de Cartier Parfum,Cartier,https://fimgs.net/mdimg/perfume/375x500.59418.jpg,for men,4.44,339,"woody , amber , warm spicy , balsamic , aromatic , vanilla , alcohol , fresh spicy , patchouli ",strong,[],"['Sandalwood', 'Liquor', 'Balsam Fir', 'Tonka Bean', 'Benzoin', 'Ambrocenide', 'Indonesian Patchouli Leaf', 'Labdanum']",[],"{'very weak': 12, 'weak': 12, 'moderate': 33, 'long lasting': 128, 'eternal': 45}",,"{'female': 2, 'more female': 1, 'unisex': 11, 'more male': 43, 'male': 74}","{'way overpriced': 1, 'overpriced': 13, 'ok': 46, 'good value': 44, 'great value': 10}",,,,,,,,winter and fall,"{'woody': 100.0, 'amber': 89.0155, 'warm spicy': 60.688, 'balsamic': 52.5211, 'aromatic': 52.2736, 'vanilla': 49.5227, 'alcohol': 47.7237, 'fresh spicy': 46.2578, 'patchouli': 45.0394}"
Eros Eau De Parfum,Versace,https://fimgs.net/mdimg/perfume/375x500.62762.jpg,for men,4.18,266,"aromatic , citrus , green , woody , vanilla , fresh spicy , amber , fruity , powdery , leather ",strong,"['Mint', 'Candy Apple', 'Lemon', 'Mandarin Orange']","['Ambroxan', 'Geranium', 'Clary Sage']","['Vanilla', 'Leather', 'Sandalwood', 'Cedar', 'Bitter Orange', 'Patchouli']","{'very weak': 21, 'weak': 13, 'moderate': 36, 'long lasting': 111, 'eternal': 33}",,"{'female': 0, 'more female': 1, 'unisex': 8, 'more male': 32, 'male': 85}","{'way overpriced': 7, 'overpriced': 18, 'ok': 61, 'good value': 26, 'great value': 8}",,,,,,,,spring,"{'aromatic': 100.0, 'citrus': 93.2746, 'green': 79.2069, 'woody': 78.3314, 'vanilla': 74.1728, 'fresh spicy': 70.631, 'amber': 59.4485, 'fruity': 58.4536, 'powdery': 56.8618, 'leather': 52.6038}"
Nomade Absolu de Parfum,Chloé,https://fimgs.net/mdimg/perfume/375x500.58424.jpg,for women,4.01,466,"mossy , woody , fruity , aromatic , earthy , powdery , green , musky , sweet , balsamic ",moderate,['Mirabelle'],"['Oakmoss', 'Davana']","['Sandalwood', 'Musk']","{'very weak': 17, 'weak': 23, 'moderate': 62, 'long lasting': 62, 'eternal': 28}",,"{'female': 33, 'more female': 15, 'unisex': 16, 'more male': 3, 'male': 1}","{'way overpriced': 1, 'overpriced': 8, 'ok': 29, 'good value': 14, 'great value': 4}",,,,,,,,fall,"{'mossy': 100.0, 'woody': 95.625, 'fruity': 80.5312, 'aromatic': 80.1375, 'earthy': 79.0, 'powdery': 70.9063, 'green': 70.6, 'musky': 67.1875, 'sweet': 62.5938, 'balsamic': 59.225}"
Interlude Black Iris Man,Amouage,https://fimgs.net/mdimg/perfume/375x500.60929.jpg,for men,4.22,332,"amber , woody , iris , powdery , fresh spicy , warm spicy , leather , oud , aromatic , balsamic ",enormous,"['Violet Leaf', 'Rosemary', 'Bergamot']","['Orris', 'Olibanum', 'Myrhh', 'Vanilla', 'Labdanum', 'Amber']","['Leather', 'Agarwood (Oud)', 'Sandalwood', 'Patchouli', 'Cedar']","{'very weak': 13, 'weak': 10, 'moderate': 25, 'long lasting': 72, 'eternal': 104}",,"{'female': 3, 'more female': 0, 'unisex': 14, 'more male': 31, 'male': 58}","{'way overpriced': 20, 'overpriced': 24, 'ok': 31, 'good value': 9, 'great value': 8}",,,,,,,,winter,"{'amber': 100.0, 'woody': 73.5617, 'iris': 64.6343, 'powdery': 63.0854, 'fresh spicy': 59.7941, 'warm spicy': 56.5243, 'leather': 56.2446, 'oud': 52.3724, 'aromatic': 52.0713, 'balsamic': 51.4754}"
J'Adore Infinissime,Christian Dior,https://fimgs.net/mdimg/perfume/375x500.62638.jpg,for women,3.85,380,"white floral , tuberose , yellow floral , woody , sweet ",moderate,"['Blood Orange', 'Bergamot', 'Pink Pepper']","['Tuberose', 'Jasmine Sambac', 'Ylang-Ylang', 'Lily-of-the-Valley', 'Rose']",['Sandalwood'],"{'very weak': 23, 'weak': 22, 'moderate': 62, 'long lasting': 47, 'eternal': 17}",,"{'female': 99, 'more female': 7, 'unisex': 5, 'more male': 1, 'male': 2}","{'way overpriced': 16, 'overpriced': 45, 'ok': 24, 'good value': 8, 'great value': 0}",,,,,,,,summer,"{'white floral': 100.0, 'tuberose': 70.9471, 'yellow floral': 55.1532, 'woody': 54.1393, 'sweet': 44.273}"
Angel Eau Croisière 2020,Mugler,https://fimgs.net/mdimg/perfume/375x500.58960.jpg,for women,4.22,375,"sweet , fruity , woody , patchouli , floral , vanilla , lactonic , warm spicy ",moderate,[],"['Fig Nectar', 'Praline', 'Patchouli', 'Magnolia', 'Vanilla']",[],"{'very weak': 19, 'weak': 25, 'moderate': 81, 'long lasting': 33, 'eternal': 31}",,"{'female': 34, 'more female': 16, 'unisex': 10, 'more male': 0, 'male': 1}","{'way overpriced': 1, 'overpriced': 6, 'ok': 30, 'good value': 16, 'great value': 2}",,,,,,,,summer,"{'sweet': 100.0, 'fruity': 79.8637, 'woody': 65.1934, 'patchouli': 58.361, 'floral': 57.8453, 'vanilla': 55.7827, 'lactonic': 45.7687, 'warm spicy': 44.1805}"
R.E.M.,Ariana Grande,https://fimgs.net/mdimg/perfume/375x500.62578.jpg,for women,3.87,348,"sweet , powdery , fruity , caramel , lavender , salty , aromatic ",moderate,"['Zefir', 'Caramel', 'Fig', 'Salt', 'Quince']","['Lavender', 'Pear Blossom']","['Tonka Bean', 'Musk', 'Sandalwood']","{'very weak': 31, 'weak': 43, 'moderate': 101, 'long lasting': 27, 'eternal': 13}",,"{'female': 33, 'more female': 58, 'unisex': 47, 'more male': 7, 'male': 1}","{'way overpriced': 7, 'overpriced': 11, 'ok': 39, 'good value': 53, 'great value': 12}",,,,,,,,fall,"{'sweet': 100.0, 'powdery': 59.1033, 'fruity': 58.1298, 'caramel': 56.2948, 'lavender': 55.9591, 'salty': 44.769800000000004, 'aromatic': 44.132}"
Alahine,Teo Cabanel,https://fimgs.net/mdimg/perfume/375x500.4233.jpg,for women,4.04,526,"amber , woody , warm spicy , powdery , vanilla , yellow floral , sweet , white floral , fresh spicy , balsamic ",moderate,"['Ylang-Ylang', 'Bergamot']","['Pepper', 'Rose', 'Orange Blossom', 'Jasmine']","['Benzoin', 'French labdanum', 'Sandalwood', 'Vanilla', 'iris', 'Patchouli', 'Musk']","{'very weak': 8, 'weak': 14, 'moderate': 39, 'long lasting': 48, 'eternal': 19}",,"{'female': 2, 'more female': 8, 'unisex': 3, 'more male': 0, 'male': 0}","{'way overpriced': 0, 'overpriced': 1, 'ok': 9, 'good value': 1, 'great value': 0}",,,,,,,,fall,"{'amber': 100.0, 'woody': 90.7326, 'warm spicy': 75.7587, 'powdery': 65.563, 'vanilla': 64.4978, 'yellow floral': 61.8044, 'sweet': 58.5326, 'white floral': 56.9348, 'fresh spicy': 56.5544, 'balsamic': 56.5315}"
